void,Reff,ratio,dist,y_major,y_inter,y_minor,D,Dc
692,15.072198012873152,1.3167003449212087,221.67155049780612,-1.8623310925622683e-08,1.0795871769608708e-07,-3.16278591157258e-07,2.9765528023163536e-07,4.242373088533451e-07
694,15.057900597981767,1.308809914423243,206.59863026622173,-1.459005861631733e-07,-4.4880541062609935e-08,-1.0981235925670485e-07,-3.6088226906468466e-08,6.493181819409492e-08
695,15.056558661999343,1.3074145541844318,231.1066311196114,-1.7512311673386797e-07,-1.8139303896747473e-07,-1.0283237126755141e-07,-7.229074546631656e-08,-7.856066769992332e-08
697,14.77644159354136,1.3755351874392112,226.8723813213671,1.1424319866044107e-07,1.5789317482416085e-07,-2.0651777651821196e-07,3.20760975178653e-07,3.644109513423728e-07
702,14.65219798302568,1.338905856755091,309.81956975131544,-2.295633854904148e-09,-1.941599296145531e-07,-6.909719876433026e-08,6.680156490942611e-08,-1.2506273085022286e-07
704,15.0740970424841,1.340892451704253,164.72908526826413,9.300842943165601e-08,-1.189222550956951e-08,-1.698261863723816e-07,2.628346158040376e-07,1.5793396086281212e-07
707,14.944651684578464,1.4163810738802143,277.52129474837136,4.302721680615689e-08,-8.690664947210943e-08,6.766419914508356e-08,-2.4636982338926666e-08,-1.5457084861719299e-07
711,14.446843506814998,1.4090092828706244,270.0773945183274,-2.972525527849036e-08,-1.4947866025854145e-07,-5.559106137325077e-07,5.261853584540174e-07,4.064319534739663e-07
724,15.30587636666481,1.3072621791985004,145.6922125359544,-2.199080518688654e-07,4.240547962946042e-08,5.4852655035949376e-08,-2.7476070690481476e-07,-1.2447175406488959e-08
737,14.118449910170169,1.3145484317256748,181.02850170686335,5.835853613146055e-07,1.3829679375489765e-07,4.275636056772132e-07,1.5602175563739224e-07,-2.8926681192231556e-07
739,15.473520331583035,1.3354565680338168,144.8552414112125,-3.824506894780561e-07,6.536399537390911e-08,1.5227508193456272e-07,-5.347257714126188e-07,-8.691108656065361e-08
746,13.950709553501682,1.3655016129704514,309.170153917818,-1.1741913500718498e-07,-2.0493372444195093e-07,-1.0699569407661593e-07,-1.0423440930569052e-08,-9.7938030365335e-08
749,14.427792739762165,1.3426462383571494,248.41594301762004,-9.906774229538789e-08,1.2408000417288765e-07,2.6985176202436346e-07,-3.6891950431975134e-07,-1.457717578514758e-07
756,14.919650982908369,1.3679494843671276,280.46748581435907,-1.3098696366659469e-07,7.353948783621673e-09,-2.581614446955045e-07,1.271744810289098e-07,2.655153934791262e-07
757,14.880614542945075,1.4068182808575171,212.81994806768952,-1.3480696915039736e-07,-5.231230202829359e-07,-1.8396398523539391e-07,4.915701608499655e-08,-3.3915903504754197e-07
760,14.840325348138633,1.4053494596880989,32.15011537766683,-8.30203012176921e-08,1.261895981004085e-07,-1.0304853672041785e-07,2.0028235502725745e-08,2.2923813482082634e-07
762,14.661218039336864,1.4668082197596306,141.50245161207846,3.0824174714646046e-11,2.5655526167803592e-08,3.9418946964396537e-07,-3.9415864546925073e-07,-3.685339434761618e-07
763,14.84638361063094,1.4267315249402646,285.1681868021984,-2.3794059681403055e-07,-1.2205297444796894e-07,6.738434827360428e-08,-3.053249450876348e-07,-1.8943732272157321e-07
766,15.035492694790252,1.3158920526155113,221.7128371363885,-4.3998005182664346e-07,-3.5765855407750773e-07,-2.1147752011832377e-07,-2.285025317083197e-07,-1.4618103395918397e-07
769,13.97375132311076,1.3482172815208255,318.5052103926014,3.067919158592845e-07,9.902727583358701e-08,1.4663113119701013e-07,1.6016078466227437e-07,-4.760385536342312e-08
772,14.43701066037304,1.306181016694457,286.15987899971145,-3.0797029017006237e-07,-1.7412397990727246e-07,-2.8381006901229705e-07,-2.416022115776532e-08,1.096860891050246e-07
774,15.771778118189962,1.3349154763286775,268.42857801062684,-9.046658076161944e-08,2.4263271491774717e-08,-1.576760801160829e-07,6.720949935446345e-08,1.819393516078576e-07
775,13.958655457617596,1.3402182169151702,275.4959362919506,1.3267343103778353e-08,-4.158905860055641e-07,-2.2616651509468066e-07,2.39433858198459e-07,-1.8972407091088346e-07
778,14.545443728607994,1.327883698082658,296.4684425341709,-8.731265740339786e-08,4.911534283142816e-07,-3.350075319298343e-07,2.4769487452643644e-07,8.261609602441159e-07
782,15.104197976352063,1.3494026007511455,275.11408149474425,1.6012158433448368e-07,8.732860513335097e-08,5.011240656220291e-07,-3.4100248128754545e-07,-4.1379546048867814e-07
787,15.130619749455573,1.3235408297323918,286.92104543134866,-3.778323358199369e-07,-9.382971241518571e-08,-3.3663713217251854e-07,-4.1195203647418345e-08,2.4280741975733284e-07
788,15.006955676222338,1.3362037915722205,260.6596641485342,-5.452810646368738e-07,2.1483870580966614e-07,1.6461516064496182e-07,-7.098962252818356e-07,5.0223545164704317e-08
789,13.814625602779843,1.315421425967885,289.68695334304647,2.7555944283779245e-08,-2.0489649941307324e-07,1.0830381668452851e-07,-8.074787240074926e-08,-3.1320031609760176e-07
795,15.224239244970164,1.3006360670892747,124.18311238280648,7.487803127118858e-08,-1.7051725182728393e-07,3.1909992499845097e-07,-2.442218937272624e-07,-4.896171768257349e-07
796,15.097907494779443,1.3074682487425553,294.68537234020494,-2.8107419653967496e-07,-9.95450293231283e-08,7.17107651592245e-08,-3.527849616988995e-07,-1.7125579448235281e-07
797,14.939273552345952,1.3792058060129204,264.75692054797736,-2.6128796208371173e-07,-3.3226039644088837e-07,-9.805668515017774e-08,-1.63231276933534e-07,-2.3420371129071064e-07
