event,m1,m2,Mf,chi_eff,chi_f,Cf,pred,dev,rho,Mheld,Rmax_km,rs_km,rplus_km,ratio,ratio_kerr
GW231230_170116,53.0,35.0,86.0,-0.18,0.6031044577278704,69.58061359416617,84.27985086547966,-0.0200017341223295,662815567644861.2,16.419386405833833,182.93901541804453,254.0446653382345,228.3432482053882,0.7201057151681574,0.8011579797336339
GW240107_013215,59.0,33.0,87.0,0.32,0.7563616924659583,73.06622713915552,88.25235617760319,0.0143948985931401,699910884996657.4,13.933772860844485,173.51929019417298,256.9986730747256,212.55764580563928,0.6751758214086967,0.8163399135161545
GW230914_111401,60.0,37.0,91.2,0.12,0.696474227213203,77.28227987401672,93.04710827210424,0.0202533801765816,540562894872050.5,13.91772012598328,173.5509311617467,269.4055055679882,231.36299763694925,0.6441996454224234,0.7501239737310101
GW230820_212515,62.0,34.0,92.0,0.21,0.7150379533616875,76.49219307521255,92.14939091100072,0.0016238142500076,606084866630973.8,15.507806924787445,179.71870930169882,271.7687117571811,230.87915711290702,0.6612928623743606,0.7784102798582673
GW231004_232346,64.0,35.0,96.0,-0.04,0.6242223935882427,79.05976267026654,95.0653998613158,-0.0097354181112937,504358546509524.8,16.940237329733463,184.99962295644818,283.5847427031455,252.5671932903691,0.6523609880877989,0.7324768531745116
GW231102_071736,61.0,42.0,98.0,0.06,0.6874077916595925,82.36642642548149,98.81529813399996,0.0083193687142853,481056325740857.75,15.633573574518508,180.31450221559766,289.49275817612767,249.8715724906488,0.6228636023630482,0.7216287167774788
GW230708_230935,64.0,40.0,99.0,0.01,0.660448361437541,83.26828191870422,99.83700476551226,0.0084545935910329,449741966046501.2,15.731718081295782,180.69915121531622,292.44676591261884,256.01834921333915,0.6178873295159226,0.7058054696881914
GW231029_111508,65.0,42.0,101.0,0.14,0.7079495994186341,85.82612565087081,102.73244115497296,0.0171528827225045,441641290811946.2,15.173874349129193,178.65642781915759,298.35478138560103,254.5358557877205,0.5988053115470525,0.7018910057534474
GW230601_224134,64.0,44.0,102.0,-0.03,0.6577142353851219,86.6565816148931,103.6717793148917,0.0163899932832519,399206315443240.5,15.3434183851069,179.31661544518548,301.3087891220921,264.1374595176445,0.5951257378440604,0.6788761267434202
GW230819_171910,70.0,35.0,102.0,-0.04,0.6091750982336298,84.26448289423826,100.96509301301528,-0.0101461469312227,431032608685197.2,17.735517105761744,187.87958889016718,301.3087891220921,270.128715239405,0.6235449999237734,0.6955187593575771
GW230814_061920,69.0,42.0,106.0,0.07,0.6778672276452216,89.29597802372797,106.65494577170156,0.0061787336952976,399265736409556.06,16.70402197627203,184.365552360556,313.1248200680565,271.6646429652398,0.5887925215269899,0.6786512604223806
GW231001_140220,76.0,41.0,111.0,-0.04,0.6220426921128858,94.54391400940844,112.57651400533692,0.0142028288769091,315287331730386.44,16.45608599059156,183.58314213409147,327.89485875051196,292.315532957991,0.5598841739503329,0.6280307456684979
GW230922_040658,76.0,51.0,119.0,0.31,0.7672226386772768,103.05550717900962,122.15477714152172,0.0265107322816951,318119831567380.9,15.944492820990376,181.89911003231802,351.5269206424408,288.4947817312796,0.5174542811682368,0.6305109192642145
GW231005_021030,84.0,50.0,127.0,0.1,0.6856217170521971,109.19620242671976,129.0468336226498,0.0161168001783447,249902322963686.38,17.803797573280235,188.5976648827304,375.15898253436956,324.12948403241086,0.5027139790407453,0.5818590229325508
GW230704_212616,89.0,50.0,132.0,0.27,0.739034469605304,113.58387777715473,133.96276308306014,0.0148694172959101,253392397520533.0,18.416122222845274,190.74743782380955,389.92902121682505,326.30578707957864,0.4891850245682072,0.5845665182067107
GW231028_153006,94.0,59.0,144.0,0.45,0.8094607684425743,125.7106567482077,147.51538579013834,0.0244124013204051,227279710328801.0,18.289343251792303,190.55367437173996,425.3771140547182,337.57374021846516,0.4479640960355666,0.5644801466145463
GW231123_135430,137.0,101.0,222.0,0.32,0.7758613884038505,200.59309641619456,230.3677432544632,0.0376925371822665,66645622457868.64,21.406903583805445,201.72598630205871,655.7897175010239,534.7648414995656,0.30760772991495366,0.37722372648206826
