event,m1,m2,Mf,chi_eff,chi_f,Cf,pred,dev,rho,M_rd,M_outside_choke,R_out_km,rs_km,dM,frac_out
GW230927_153832,21.7,16.6,36.5,0.03,0.6862487066271388,28.185164090149023,36.23245452578217,-0.0073300129922694,5268430708700060.0,36.49999999999999,5.032225361834331,150.22225180040633,107.8212823819251,1.9466924267400004e-16,0.1378691879954611
GW231231_154016,22.5,17.2,38.1,-0.03,0.6671423243438511,29.316383585362328,37.57757898282516,-0.0137118377211244,4705832183981851.0,38.1,5.0345847778963275,152.79653812860346,112.54769476031088,0.0,0.13214133275318443
GW231108_125142,23.2,17.4,38.9,-0.08,0.6496575948455914,30.04798767562733,38.44605900546018,-0.0116694343069362,4322432193360618.5,38.89999999999999,4.85528428098548,152.79184630525467,114.91090094950374,1.8265880096660674e-16,0.12481450593793009
GW230624_113103,27.1,16.1,41.7,0.17,0.7097029002572898,32.21342946868137,41.01028120772722,-0.0165400189993473,4130484529308535.0,41.699999999999996,4.535962343638152,155.7544909583953,123.18212261167882,1.7039394142928062e-16,0.10877607538700604
GW230712_090405,32.0,12.5,44.0,-0.02,0.5687638551833223,33.43927864198777,42.457908524676526,-0.0350475335300789,3148805442662537.0,44.0,4.719967510164768,161.80582500515314,129.97634040560834,0.0,0.10727198886738108
GW240109_050431,28.7,18.1,45.2,-0.07,0.6342929009659726,35.13651197139019,44.45778140978831,-0.0164207652701701,3012612344811302.0,45.2,3.7253868406372423,157.9184307910194,133.52114968939767,0.0,0.08242006284595668
GW230919_215712,27.3,21.4,46.5,0.18,0.7349639842959805,36.64552656076757,46.23180284848169,-0.005767680677813,3215208823292580.0,46.5,2.944489287539475,156.06801083621568,137.3613597468361,0.0,0.06332235026966612
GW231005_091549,28.8,21.2,48.0,-0.03,0.6641252920138009,37.723938776370886,47.49737578702474,-0.0104713377703178,2674863085493443.0,48.0,2.6630007292116455,158.17710520345668,141.79237135157274,0.0,0.05547918185857595
GW230708_053705,29.1,22.7,49.4,0.06,0.6970146197808593,39.19387241637969,49.219573387903466,-0.0036523605687557,2570146590848559.0,49.39999999999999,1.9081201500578773,157.33542005327564,145.9279821826603,1.4383456189475712e-16,0.03862591396878294
GW230924_124453,28.8,23.2,49.4,0.02,0.6863689413688516,39.35351199996325,49.406418145831616,0.0001299219803971,2483953834182575.0,49.39999999999999,1.749385653504726,156.386447365524,145.9279821826603,1.4383456189475712e-16,0.03541266505070296
GW230704_021211,32.6,20.0,50.7,-0.01,0.6512900806688403,39.91223070041906,50.06006338926216,-0.0126220238804307,2325800122680617.0,50.7,1.8235389803096982,160.3904402024096,149.76819224009873,0.0,0.03596723827040824
GW230805_034249,32.2,22.6,52.4,0.06,0.6891225116554882,41.6908372972932,52.1379523038576,-0.0050009102317251,2218480278646312.8,52.39999999999999,0.8397399156522264,159.52285662350627,154.79000539213357,1.3559975873284355e-16,0.016025570909393633
GW230911_195324,33.9,21.6,53.1,-0.02,0.652570230469455,42.2967777913488,52.844875721134926,-0.0048046003552744,2025441688875720.0,53.1,0.5475480016565248,159.90315945753517,156.85781080767734,0.0,0.01031163844927542
GW230920_071124,32.4,23.8,53.8,0.0,0.6735940573957931,42.838379828818425,53.47633090998308,-0.0060161540895338,2040512794581155.5,53.8,0.3118354044918214,160.63741412309872,158.9256162232211,0.0,0.005796197109513409
