Name,Type,Rad,g_obs,g_bar,locked,Vobs
UGC 07901,SAc,10.49,1.3365974754863777e-10,4.6100835116235864e-11,0.11883055319487809,208.0
UGC 07901,SAc,13.31,1.0737668419571487e-10,2.9715935959597476e-11,0.1145097227908208,210.0
UGC 07985,SABd,0.24280000000000002,9.817030556105064e-11,1.512383845424855e-10,0.8168077830393913,27.12
UGC 07985,SABd,0.45000000000000007,1.3497891795631767e-10,1.0755284306264669e-10,0.6479490955296864,43.292682926829265
UGC 07985,SABd,0.740054347826087,1.7004899484880247e-10,8.419752014121765e-11,0.46266718438110876,62.31521739130435
UGC 07985,SABd,1.0425,1.7427980363188365e-10,7.27475907928956e-11,0.33502673582923725,74.875
UGC 07985,SABd,1.3322222222222222,1.513925345017982e-10,6.57285147060804e-11,0.2560505419512776,78.88888888888889
UGC 07985,SABd,1.6657142857142857,1.3728007775663472e-10,5.947477401515397e-11,0.19711857659424203,84.0
UGC 07985,SABd,1.942,1.2864391873141244e-10,5.499470566108012e-11,0.16423200979766361,87.8
UGC 07985,SABd,2.2488888888888887,1.2673055313601456e-10,5.045697663348558e-11,0.1382885619850943,93.77777777777777
UGC 07985,SABd,2.544,1.1232166493192513e-10,4.642166657163027e-11,0.12028855892318056,93.9
UGC 07985,SABd,2.834,1.089304365709864e-10,4.272950066275453e-11,0.10709599362934862,97.6
UGC 07985,SABd,3.13625,1.1069282724065492e-10,3.9152578703386866e-11,0.096669460516991,103.5
UGC 07985,SABd,3.44,1.0685386306889638e-10,3.5827019175542246e-11,0.08864519857792577,106.5
UGC 07985,SABd,3.7675,9.61959849835751e-11,3.253344105251253e-11,0.08199810816479122,105.75
UGC 07985,SABd,4.11,9.540980389848373e-11,2.9399316441336344e-11,0.07668404934483428,110.0
UGC 07985,SABd,4.335,8.479291556101581e-11,2.750477033014348e-11,0.07389193524119722,106.5
UGC 07985,SABd,4.545,7.201910015007799e-11,2.584836588610644e-11,0.07168845594195626,100.5
UGC 07985,SABd,4.848888888888888,7.244382706930899e-11,2.3632591733792878e-11,0.06906765627472483,104.11111111111111
UGC 07985,SABd,5.21,5.2648667765560665e-11,2.125937413413052e-11,0.06665759730585225,92.0
UGC 08403,SBcd,0.4716666666666667,1.918141013405268e-11,3.932898743126415e-12,0.0,16.708333333333332
UGC 08403,SBcd,0.9432911392405064,1.0835896777954252e-11,5.205564796619466e-12,0.0,17.759493670886076
UGC 08403,SBcd,1.5734188034188037,2.0710053201328588e-11,5.712342973886777e-12,0.0,31.70940170940171
UGC 08403,SBcd,2.0616666666666665,2.663927562243482e-11,5.664577725805135e-12,0.0,41.166666666666664
UGC 08403,SBcd,2.63375,3.538421103515842e-11,5.374186125923214e-12,0.0,53.625
UGC 08403,SBcd,3.2444444444444445,4.063009882682541e-11,4.933671186288731e-12,0.0,63.77777777777778
UGC 08403,SBcd,3.8237499999999995,3.5808545270748464e-11,4.472858218987818e-12,0.0,65.0
UGC 08403,SBcd,4.413333333333332,3.6095779418833445e-11,4.00532053750878e-12,0.0,70.11111111111111
UGC 08403,SBcd,5.065714285714285,4.5140600864138773e-11,3.517186009142628e-12,0.0,84.0
UGC 08403,SBcd,5.653333333333333,5.2099603529754566e-11,3.115530001929207e-12,0.0,95.33333333333333
UGC 08403,SBcd,6.2139999999999995,5.662570782787693e-11,2.769626237462818e-12,0.0,104.2
UGC 08403,SBcd,6.783333333333333,5.722604579308689e-11,2.455749885087837e-12,0.0,109.44444444444444
UGC 08403,SBcd,7.348571428571428,5.688329066904784e-11,2.1796412748858936e-12,0.0,113.57142857142857
UGC 08403,SBcd,7.946000000000001,5.6981758419150123e-11,1.9233009110216928e-12,0.0,118.2
UGC 08403,SBcd,8.5425,5.623444419799755e-11,1.7001922931121924e-12,0.0,121.75
UGC 08403,SBcd,9.172500000000001,5.215720257901343e-11,1.4960822555424885e-12,0.0,121.5
UGC 08403,SBcd,9.669247311827958,5.1258051864280825e-11,1.3552835922357024e-12,0.0,123.66666666666667
UGC 08403,SBcd,10.345000000000002,4.739463496375426e-11,1.1885600482296182e-12,0.0,123.0
UGC 08403,SBcd,10.933333333333334,4.7557777377618526e-11,1.0636350288871934e-12,0.0,126.66666666666667
UGC 08403,SBcd,11.79,4.7171342990801316e-11,9.100262767263637e-13,0.0,131.0
UGC 08709,SABc,1.8666666666666665,8.186054162313159e-11,9.41013822300082e-11,0.6075388507913655,68.66666666666667
UGC 08709,SABc,2.9863636363636363,1.22560470086132e-10,7.677012572740375e-11,0.4428192387092033,106.27272727272727
