ID,GLON,GLAT,Dist,Rgc,Z,Mass,Mline,nH2,NH2,Tmin,Tmax,fA,fL,Lsumw,DGMF,Vgrad,Morph,feed_proxy,smoothing_proxy,density_proxy,ambient_resistance_proxy,choke_F1,choke_F2
20.0,13.87,0.25,3.9,4.6,34.1,10.9,565.4,4.9,2.1,15.6,33.8,2.98,1.51,11.2,0.28,0.15,"C,H",0.28,5.813776741499453,4.9,0.21403428904378416,0.04816146413076471,6.410187854149554
22.0,16.38,-0.6,3.3,5.2,-16.6,17.3,651.2,7.8,2.8,10.7,16.5,4.13,1.97,18.1,0.34,0.61,"C,X",0.34,4.06201920231798,7.8,0.20262851487423578,0.08370221386594626,13.087990116524326
23.0,16.39,-0.13,3.5,5.1,9.8,8.8,697.9,10.3,3.3,15.9,26.8,5.57,4.89,9.5,0.21,0.57,S  ,0.21,5.176871642217914,10.3,0.21817098462568818,0.04056503898752843,9.914242279792697
24.0,18.28,-0.26,4.9,4.0,-6.8,35.2,2266.1,2.7,3.0,11.1,19.8,26.81,11.36,3.3,0.41,0.58,L  ,0.41,4.449719092257398,2.7,0.30477225805542013,0.0921406478699764,3.632220357138614
25.0,18.61,-0.09,3.4,5.3,13.0,13.6,990.5,6.8,3.2,12.0,23.7,9.72,5.45,7.1,0.29,0.27,"L,H",0.29,4.868264577855234,6.8,0.20170432713055125,0.05956948217628767,9.776686638574892
26.0,19.0,-0.05,5.0,4.0,10.9,24.9,2185.5,4.9,4.0,15.1,28.0,3.39,3.16,3.3,0.39,0.84,S  ,0.39,5.291502622129181,4.9,0.29655463546075744,0.07370307223679931,6.444006505010034
27.0,18.92,-0.41,5.0,4.0,-20.8,94.9,1015.8,2.3,1.9,11.9,31.3,8.25,2.83,27.8,0.45,0.42,C  ,0.45,5.594640292279746,2.3,0.27761394720356486,0.08043412560785576,3.7281988546528955
28.0,19.62,-0.11,5.1,3.9,5.0,36.1,1069.5,5.2,2.9,13.8,31.6,4.49,2.18,14.6,0.27,0.58,C  ,0.27,5.621387729022079,5.2,0.3173915646582382,0.048030844520125356,4.423558015827558
29.0,20.74,-0.08,11.7,4.9,-14.3,170.2,2146.9,1.3,2.0,16.5,29.5,2.09,2.04,12.0,0.43,0.33,C  ,0.43,5.431390245600108,1.3,0.2241738676524968,0.07916941713925581,2.4936001945888453
30.0,22.4,0.35,5.4,3.9,47.2,41.4,2073.4,3.0,3.1,14.7,23.0,4.57,1.57,4.7,0.39,0.08,"L,X",0.39,4.795831523312719,3.0,0.23955975819628195,0.08132062148225917,4.883958845213757
31.0,22.57,-0.2,4.2,4.8,2.2,12.4,983.2,16.5,4.9,11.6,17.1,13.38,7.0,10.2,0.23,0.49,S  ,0.23,4.135214625627067,16.5,0.2500497857127395,0.05561984584176756,15.176977613409141
32.0,22.94,-0.28,4.2,4.8,-3.5,19.5,861.5,4.7,2.5,13.3,25.0,9.78,10.09,10.5,0.27,0.62,L  ,0.27,5.0,4.7,0.247892051258334,0.054000000000000006,5.119163739048438
33.0,23.08,-0.4,4.6,4.5,-15.9,50.2,2009.7,2.9,3.0,13.4,20.9,13.65,5.54,5.9,0.31,0.24,C  ,0.31,4.571651780264984,2.9,0.2486486841743129,0.0678091890852701,3.615542961690335
34.0,22.75,-0.46,4.6,4.5,-20.6,33.6,845.2,6.6,2.9,11.5,19.8,12.41,4.66,21.9,0.21,0.42,S  ,0.21,4.449719092257398,6.6,0.24097848603329938,0.04719399037242694,5.75155078287145
