ID,Len,Ng_5,Ng1,L0_5,L1_0,xlen,ylen,zlen,feed_proxy,density_proxy,ambient_resistance_proxy,smoothing_proxy,choke_F1,choke_F2,concentration_Ng,concentration_L,thickness_proxy
68,26.665,17,23,18.316,27.297,9.481,20.087,11.61,0.6375398462403901,0.6868929308081755,0.2250515657228577,26.665,0.02390923856142472,1.9458723252356245,0.7391304347826086,0.6709894860241051,0.35555972248265516
69,23.728,13,20,9.002,14.199,2.741,10.768,19.69,0.547875927174646,0.37938300741739717,0.295052258934592,23.728,0.02308984858288292,0.7044678040888678,0.65,0.6339883090358477,0.11551753202966959
70,15.043,13,13,15.651,15.651,6.585,9.921,8.416,0.8641893239380443,1.0404174699195639,6.647610184138803e-05,15.043,0.057447937508345696,13525.427108954327,1.0,1.0,0.43774513062554016
71,26.589,16,19,13.91,17.33,11.729,7.233,20.911,0.6017526044604912,0.5231486705028395,0.11286622287412088,26.589,0.022631637310936523,2.7891965105116405,0.8421052631578947,0.8026543566070399,0.2720297867539208
72,16.869,10,15,1.634,3.771,8.952,12.588,4.562,0.5928033671231253,0.09686407018791866,0.296460963898275,16.869,0.035141583207251484,0.19368940249533825,0.6666666666666666,0.4333068151683903,0.2704368960815698
73,14.598,10,15,6.906,12.286,12.178,7.862,1.078,0.6850253459377996,0.47307850390464445,0.34258117550349365,14.598,0.046925972457720205,0.9459678142464394,0.6666666666666666,0.5621032069021651,0.0738457322920948
74,7.298,5,10,0.206,1.675,4.305,5.162,2.155,0.6851192107426692,0.02822691148259797,0.6852562345848178,7.298,0.0938776665857316,0.02822126722915214,0.5,0.12298507462686566,0.29528637983009043
75,34.726,21,24,24.737,28.418,13.927,15.969,20.982,0.6047342049185049,0.7123480965270979,0.08641939756954443,34.726,0.017414450409448393,4.984775083995021,0.875,0.8704694207896403,0.40105396532857224
76,17.752,11,14,7.896,12.62,12.38,8.15,8.431,0.6196484903109509,0.444794952681388,0.16905137449301488,17.752,0.03490584104951278,1.6303713693752977,0.7857142857142857,0.6256735340729002,0.45910319963947727
77,26.108,20,21,34.782,35.664,11.285,4.372,21.096,0.7660487206986364,1.3322353301669985,0.03834073847096675,26.108,0.029341532124200872,26.618088514825146,0.9523809523809523,0.9752691790040375,0.16745825034472192
78,18.586,11,15,12.797,16.836,13.872,9.654,6.216,0.5918433229312386,0.6885290003228237,0.21526955773162598,18.586,0.0318435017180264,1.8929815055113874,0.7333333333333333,0.7600974103112379,0.3344452813945981
79,32.48,24,32,13.413,20.326,18.734,23.846,5.319,0.7389162561576356,0.41296182266009857,0.24633620689655172,32.48,0.022749884733917352,1.2387306266519644,0.75,0.6598937321656991,0.163762315270936
80,28.85,19,31,19.107,29.514,24.821,2.952,12.196,0.658578856152513,0.6622876949740034,0.4159792027729636,28.85,0.02282768998795539,1.0485348058083548,0.6129032258064516,0.6473876804228501,0.10232235701906411
81,24.178,21,29,15.55,25.383,13.596,6.682,16.698,0.8685581933989577,0.6431466622549425,0.3309206716850029,24.178,0.0359234921581172,1.688048982296437,0.7241379310344828,0.6126147421502581,0.2763669451567541
82,9.588,3,6,4.668,6.686,0.482,7.889,5.193,0.31289111389236546,0.4868585732165207,0.3129954109303296,9.588,0.032633616384268406,0.4866963411028197,0.5,0.6981752916542029,0.05027117229870672
83,21.664,14,15,21.918,23.991,8.515,18.967,4.302,0.6462333825701624,1.0117245199409157,0.04620568685376661,21.664,0.02982982748200528,14.149993285886934,0.9333333333333333,0.9135925972239589,0.1985782865583456
84,27.141,21,27,28.075,45.758,17.122,14.549,10.748,0.7737371504366088,1.0344128808813235,0.2211046018938138,27.141,0.028508056093607785,3.619841776121945,0.7777777777777778,0.6135539140696709,0.39600604251869864
85,38.419,38,44,25.994,28.369,19.532,7.642,27.071,0.9890939378953123,0.6765923110960723,0.1561987558239413,38.419,0.02574491626266463,4.284370575179262,0.8636363636363636,0.9162818569565371,0.1989119966683152
86,31.53,20,22,23.013,24.924,23.136,8.203,17.757,0.6343165239454488,0.7298763082778307,0.06346336822074214,31.53,0.020117872627511853,7.295115525015801,0.9090909090909091,0.9233269138180068,0.2601649222962258
87,30.761,20,22,32.497,35.338,14.989,18.831,17.117,0.6501739215240077,1.0564350963882838,0.06504990084847696,30.761,0.021136306411495324,10.559071428168755,0.9090909090909091,0.9196049578357575,0.48727284548616756
88,40.595,30,38,40.908,50.304,17.851,26.506,19.152,0.7390072669047912,1.0077103091513733,0.19709323808350782,40.595,0.018204391351269646,3.7784413541483817,0.7894736842105263,0.8132156488549618,0.43973395738391424
89,9.756,4,4,3.103,3.103,4.844,5.886,5.344,0.4100041000410004,0.3180606806068061,0.0001025010250102501,9.756,0.042025840512607666,1272.2427224272244,1.0,1.0,0.49651496514965154
90,12.894,6,9,2.967,5.438,2.541,10.275,6.812,0.4653327128897161,0.23010702652396464,0.23274391189700636,12.894,0.036089088947550495,0.46006069948143546,0.6666666666666666,0.5456050018389114,0.1970684039087948
91,12.603,8,10,5.829,6.16,5.769,9.049,6.06,0.6347694993255574,0.46250892644608427,0.15877172101880505,12.603,0.05036653965925235,1.8491111502092323,0.8,0.9462662337662338,0.4577481552011426
92,38.791,50,56,40.986,46.228,12.211,21.074,22.52,1.2889587790982446,1.056585290402413,0.1547008326673713,38.791,0.03322829468428875,8.803410184989277,0.8928571428571429,0.886605520463788,0.3147895130313733
93,37.082,25,31,13.16,18.266,17.106,18.477,18.19,0.6741815436060622,0.35488916455423114,0.1618305377271992,37.082,0.01818083014956211,1.478458442568868,0.8064516129032258,0.720464250520092,0.46130197939701206
94,8.194,4,7,4.441,7.696,2.959,5.098,5.444,0.4881620698071759,0.5419819380034171,0.36624359287283376,8.194,0.05957555159960652,0.722401783410086,0.5714285714285714,0.5770530145530145,0.3611178911398584
95,22.694,16,18,13.157,14.038,15.958,9.893,9.136,0.7050321670926236,0.5797567639023531,0.08817308539702123,22.694,0.031066897289707573,4.635736243097276,0.8888888888888888,0.937241772332241,0.4025733674098881
96,32.922,34,41,37.285,42.588,27.311,13.461,3.542,1.0327440617216452,1.132525362979163,0.21265415223862466,32.922,0.0313694205006271,5.500051755647984,0.8292682926829268,0.8754813562505869,0.10758763137111962
97,55.811,35,42,32.078,40.207,6.535,2.316,52.601,0.6271165182490906,0.5747612477826952,0.12544122126462526,55.811,0.011236432213167488,2.8733957538057893,0.8333333333333334,0.7978212749023802,0.041497195893282685
98,26.644,28,29,27.903,28.615,16.955,4.218,18.688,1.05089325927038,1.0472526647650504,0.037569434018916076,26.644,0.03944202294214007,29.293780832588826,0.9655172413793104,0.9751179451336711,0.15830956312865938
99,23.254,20,20,15.691,15.691,17.094,9.537,8.451,0.8600670852326481,0.6747656317192741,4.300335426163241e-05,23.254,0.036985769555029156,13495.31263438548,1.0,1.0,0.36342134686505545
100,33.424,28,31,27.942,30.96,24.766,9.666,16.316,0.8377213977979895,0.8359861177596937,0.08978578267113452,33.424,0.025063469297450618,7.7999371200504575,0.9032258064516129,0.9025193798449612,0.28919339396840593
101,17.572,14,21,8.622,14.528,6.251,15.291,2.04,0.796722057819258,0.4906669701798316,0.39841793762804467,17.572,0.04534043124398236,0.9811937698211172,0.6666666666666666,0.5934746696035242,0.11609378556794901
102,8.124,8,8,6.437,6.437,5.942,5.313,0.814,0.9847365829640571,0.7923436730674545,0.00012309207287050712,8.124,0.12121326722846591,6338.749384539636,1.0,1.0,0.1001969473165928
103,16.206,16,22,6.451,8.943,9.244,3.722,11.425,0.9872886585215352,0.39806244600765145,0.37029495248673333,16.206,0.060921180952828294,1.0613229688589272,0.7272727272727273,0.7213463043721347,0.22966802418857213
104,12.571,8,11,4.147,5.207,2.56,11.878,2.518,0.6363853313181131,0.32988624612202694,0.23872404741070719,12.571,0.05062328623960808,0.8794035218181324,0.7272727272727273,0.7964278855386979,0.2003022830323761
105,6.503,3,6,0.39,1.225,3.68,1.942,4.976,0.4613255420575119,0.05997232046747655,0.46147931723819774,6.503,0.07094041858488573,0.0599523363553581,0.5,0.3183673469387755,0.29863140089189605
106,41.237,32,41,24.046,28.182,27.1,24.5,8.095,0.7760021340058685,0.5831171035720348,0.21827485025583818,41.237,0.018818103499426933,2.0730749154877364,0.7804878048780488,0.8532396565183451,0.19630428983679707
107,26.189,23,26,8.847,11.212,21.134,4.117,11.247,0.8782313184924968,0.3378135858566574,0.11459009507808622,26.189,0.03353435864265519,2.589041144519533,0.8846153846153846,0.789065287192294,0.15720340601015695
108,26.784,18,19,22.497,26.81,9.162,22.212,1.915,0.6720430107526882,0.8399417562724014,0.03737305854241338,26.784,0.025091211572307655,15.103847765138092,0.9473684210526315,0.8391271913465125,0.0714979091995221
109,11.106,8,8,17.352,17.352,0.657,3.954,10.168,0.7203313524221142,1.5623987034035658,9.004141905276428e-05,11.106,0.06485965716028401,12499.189627228525,1.0,1.0,0.05915721231766613
110,19.733,14,21,12.002,21.052,8.584,6.84,15.22,0.7094714437743881,0.6082197334414433,0.3547863984188922,19.733,0.03595355210937962,1.2162657146379383,0.6666666666666666,0.5701121033631009,0.3466274768154867
111,30.984,20,23,28.524,31.963,17.059,21.563,5.394,0.6454944487477408,0.9206041828040279,0.09685644203459849,30.984,0.020833154168207486,6.135316113322412,0.8695652173913043,0.8924068454150111,0.1740898528272657
112,7.655,4,8,2.87,7.012,4.795,2.879,5.146,0.5225342913128674,0.37491835401698237,0.5226649248856956,7.655,0.06826052139946015,0.3748246478550186,0.5,0.4092983456930976,0.3760940561724363
